Brand: ,Model: ,Model year: ,Condition: ,Transmission: ,Fuel type: ,Engine capacity: ,Mileage: 
Toyota,Vitz,2017,Reconditioned,Automatic,Petrol,"1,000 cc","49,000 km"
,,,,,,,
,,,,,,,
Audi,A8,2013,Used,Automatic,"Petrol, Hybrid","2,000 cc","94,000 km"
Toyota,Land Cruiser Prado,2011,Used,Automatic,Petrol,"2,700 cc","89,000 km"
,,,,,,,
,,,,,,,
,,,,,,,
Toyota,Prius,2014,Used,Automatic,Hybrid,"1,800 cc","89,000 km"
Toyota,Premio,2007,Used,Automatic,Petrol,"1,500 cc","140,000 km"
Toyota,Allion,2010,Used,Automatic,Petrol,"1,500 cc","98,000 km"
Toyota,Other Model,1976,Used,Manual,Petrol,"1,200 cc","50,386 km"
,,,,,,,
,,,,,,,
,,,,,,,
Toyota,Harrier,2009,Used,Automatic,Petrol,"2,400 cc","125,000 km"
,,,,,,,
Toyota,Axio,2013,Used,Automatic,Hybrid,"1,500 cc","100,000 km"
Toyota,Vitz,2018,Reconditioned,Automatic,Petrol,"1,000 cc","11,000 km"
,,,,,,,
,,,,,,,
Toyota,Premio,2013,Used,Automatic,Petrol,"1,500 cc","67,000 km"
Toyota,Land Cruiser Sahara,2018,Used,Automatic,Diesel,"4,461 cc","54,000 km"
Toyota,Axio,2015,Used,Automatic,"Petrol, Hybrid","1,500 cc","82,000 km"
,,,,,,,
Toyota,Hilux,2020,Used,Tiptronic,Diesel,"2,800 cc","4,600 km"
Mazda,6,2013,Used,Automatic,Petrol,"2,000 cc","108,000 km"
,,,,,,,
,,,,,,,
Mitsubishi,Montero,2015,Used,Automatic,Diesel,"3,200 cc","78,000 km"
,,,,,,,
Nissan,Sunny,2001,Used,Automatic,Petrol,"1,300 cc","160,000 km"
,,,,,,,
Toyota,Land Cruiser Prado,2017,Used,Automatic,Diesel,"3,000 cc","61,000 km"
,,,,,,,
Toyota,Land Cruiser Prado,2007,Used,Automatic,Petrol,"2,700 cc","54,000 km"
Suzuki,Alto,2015,Used,Manual,Petrol,800 cc,"29,300 km"
Suzuki,Maruti,2010,Used,Manual,Petrol,800 cc,"70,150 km"
,,,,,,,
Toyota,Land Cruiser Prado,2010,Used,Automatic,Petrol,"2,700 cc","109,000 km"
Toyota,Land Cruiser Sahara,2018,Used,Automatic,Diesel,"4,461 cc","40,000 km"
,,,,,,,
Toyota,Vitz,2007,Used,Automatic,Petrol,"1,000 cc","148,000 km"
Toyota,Axio,2015,Used,Automatic,Petrol,"1,500 cc","78,000 km"
,,,,,,,
Toyota,Premio,2007,Used,Automatic,Petrol,"1,500 cc","108,000 km"
JAC,Hfc,2017,Used,,,,"47,000 km"
,,,,,,,
Suzuki,Every ,2007,Used,,,,"120,000 km"
Suzuki,Every Wagon DA17,2016,Used,,,,"57,000 km"
Toyota,Land Cruiser Prado,2017,Used,Automatic,Petrol,"2,700 cc","43,000 km"
Mitsubishi,Montero,2012,Used,Tiptronic,Diesel,"2,500 cc","79,960 km"
